AC_Number,Constituency_Name,District,Margin_Pct,purge_squeeze,rgkar_squeeze,corruption_squeeze,sandeshkhali_squeeze,total_squeeze_pct
259,Khandaghosh,Barddhaman,9.7,0.05,0.02,0.08,0.01,0.16000000000000003
276,Durgapur Purba,Barddhaman,2.0,0.05,0.02,0.08,0.01,0.16000000000000003
263,Monteswar,Barddhaman,15.3,0.05,0.02,0.08,0.01,0.16000000000000003
275,Pandabeswar,Barddhaman,2.4,0.05,0.02,0.08,0.01,0.16000000000000003
268,Purbasthali Dakshin,Barddhaman,8.1,0.05,0.02,0.08,0.01,0.16000000000000003
266,Burdwan Uttar,Barddhaman,7.2,0.05,0.02,0.08,0.01,0.16000000000000003
278,Raniganj,Barddhaman,2.0,0.05,0.02,0.08,0.01,0.16000000000000003
148,Bhangar,South  Twenty Four Parganas,10.9,0.05,0.05,0.02,0.04,0.16
155,Maheshtala,South  Twenty Four Parganas,26.6,0.05,0.05,0.02,0.04,0.16
133,Kulpi,South  Twenty Four Parganas,17.7,0.05,0.05,0.02,0.04,0.16
128,Basanti,South  Twenty Four Parganas,23.9,0.05,0.05,0.02,0.04,0.16
146,Bishnupur (SC),South  Twenty Four Parganas,25.0,0.05,0.05,0.02,0.04,0.16
153,Behala Purba,South  Twenty Four Parganas,17.1,0.05,0.05,0.02,0.04,0.16
137,Baruipur Purba,South  Twenty Four Parganas,22.2,0.05,0.05,0.02,0.04,0.16
135,Mandirbazar,South  Twenty Four Parganas,11.9,0.05,0.05,0.02,0.04,0.16
156,Budge Budge,South  Twenty Four Parganas,20.9,0.05,0.05,0.02,0.04,0.16
142,Magrahat Paschim,South  Twenty Four Parganas,24.4,0.05,0.05,0.02,0.04,0.16
157,Metiaburuz,South  Twenty Four Parganas,61.8,0.05,0.05,0.02,0.04,0.16
129,Kultali,South  Twenty Four Parganas,20.8,0.05,0.05,0.02,0.04,0.16
141,Magrahat Purba,South  Twenty Four Parganas,26.4,0.05,0.05,0.02,0.04,0.16
144,Falta,South  Twenty Four Parganas,19.7,0.05,0.05,0.02,0.04,0.16
139,Canning Purba,South  Twenty Four Parganas,23.0,0.05,0.05,0.02,0.04,0.16
149,Kasba,South  Twenty Four Parganas,28.8,0.05,0.05,0.02,0.04,0.16
131,Kakdwip,South  Twenty Four Parganas,11.6,0.05,0.05,0.02,0.04,0.16
127,Gosaba,South  Twenty Four Parganas,12.2,0.05,0.05,0.02,0.04,0.16
143,Diamond Harbour,South  Twenty Four Parganas,7.6,0.05,0.05,0.02,0.04,0.16
151,Sonarpur Uttar,South  Twenty Four Parganas,15.1,0.05,0.05,0.02,0.04,0.16
147,Sonarpur Dakshin,South  Twenty Four Parganas,11.4,0.05,0.05,0.02,0.04,0.16
132,Sagar,South  Twenty Four Parganas,12.5,0.05,0.05,0.02,0.04,0.16
140,Baruipur Paschim,South  Twenty Four Parganas,29.5,0.05,0.05,0.02,0.04,0.16
145,Satgachhia,South  Twenty Four Parganas,10.0,0.05,0.05,0.02,0.04,0.16
134,Raidighi,South  Twenty Four Parganas,15.0,0.05,0.05,0.02,0.04,0.16
130,Patharpratima,South  Twenty Four Parganas,9.6,0.05,0.05,0.02,0.04,0.16
154,Behala Paschim,South  Twenty Four Parganas,22.2,0.05,0.05,0.02,0.04,0.16
138,Canning Paschim,South  Twenty Four Parganas,16.4,0.05,0.05,0.02,0.04,0.16
152,Tollyganj,South  Twenty Four Parganas,25.7,0.05,0.05,0.02,0.04,0.16
136,Jaynagar,South  Twenty Four Parganas,19.2,0.05,0.05,0.02,0.04,0.16
150,Jadavpur,South  Twenty Four Parganas,18.3,0.05,0.05,0.02,0.04,0.16
202,Khanakul,Hugli,6.0,0.05,0.02,0.06,0.01,0.14
