AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
218,Egra,Purba Medinipur,GEN,All India Trinamool Congress,0.7133170408684697,0.7133170408684697,0.2528767131955659,0.03380624593596439
51,Englishbazar,Maldah,GEN,Bharatiya Janta Party,0.9963062027801758,0.0021858936036353036,0.9963062027801758,0.001507903616188868
163,Entally,Kolkata,GEN,All India Trinamool Congress,0.7747846563033916,0.7747846563033916,0.1760077925929889,0.04920755110361949
13,Falakata,Jalpaiguri,SC,Bharatiya Janta Party,0.997716838305022,0.0012498798272886603,0.997716838305022,0.0010332818676893425
144,Falta,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8501571747225876,0.8501571747225876,0.11956353361120547,0.030279291666206996
55,Farakka,Murshidabad,GEN,All India Trinamool Congress,0.844630283001743,0.844630283001743,0.12508589604143097,0.030283820956825986
97,Gaighata,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9984862961075222,0.0013501852446774873,0.9984862961075222,0.00016351864780035313
274,Galsi,Barddhaman,SC,All India Trinamool Congress,0.8161963727199308,0.8161963727199308,0.1495846650301393,0.03421896224992997
41,Gangarampur,Dakshin Dinajpur,SC,Bharatiya Janta Party,0.9845348327705279,0.007189628450385966,0.9845348327705279,0.008275538779086171
233,Garbeta,Paschim Medinipur,GEN,All India Trinamool Congress,0.7693214481022718,0.7693214481022718,0.21298443539231182,0.01769411650541644
44,Gazole,Maldah,SC,Bharatiya Janta Party,0.9910602166924106,0.005907851137478386,0.9910602166924106,0.0030319321701110496
231,Ghatal,Paschim Medinipur,SC,Bharatiya Janta Party,0.9965890625056099,0.0025390857168795943,0.9965890625056099,0.0008718517775106123
30,Goalpokhar,Uttar Dinajpur,GEN,All India Trinamool Congress,0.7085386770034278,0.7085386770034278,0.21750341171755225,0.07395791127902007
201,Goghat,Hugli,SC,Bharatiya Janta Party,0.997301819213634,0.0023396079011946355,0.997301819213634,0.00035857288517136105
221,Gopiballavpur,Paschim Medinipur,GEN,All India Trinamool Congress,0.7477238241399655,0.7477238241399655,0.22801610605786873,0.02426006980216582
127,Gosaba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.800525797876568,0.800525797876568,0.1610732386222294,0.03840096350120269
43,Habibpur,Maldah,ST,Bharatiya Janta Party,0.9956606119063433,0.002440141105199634,0.9956606119063433,0.0018992469884571048
100,Habra,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7039154632326888,0.7039154632326888,0.25898554252089506,0.03709899424641615
209,Haldia,Purba Medinipur,SC,Bharatiya Janta Party,0.8934801064754945,0.10155275741155173,0.8934801064754945,0.004967136112953725
292,Hansan,Birbhum,GEN,All India Trinamool Congress,0.8708715101749306,0.8708715101749306,0.10462891195751817,0.024499577867551317
121,Haroa,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8244492537051463,0.8244492537051463,0.13942517207564603,0.03612557421920775
73,Hariharpara,Murshidabad,GEN,All India Trinamool Congress,0.5843124861487474,0.5843124861487474,0.39419177359681995,0.021495740254432707
93,Haringhata,Nadia,SC,Bharatiya Janta Party,0.9974957543857506,0.0021797583224405525,0.9974957543857506,0.00032448729180889723
196,Haripal,Hugli,GEN,All India Trinamool Congress,0.7320801505716411,0.7320801505716411,0.23197704030368885,0.03594280912467011
42,Harirampur,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.7376762558629455,0.7376762558629455,0.21569141915788945,0.04663232497916503
46,Harischandrapur,Maldah,GEN,All India Trinamool Congress,0.8212753923107108,0.8212753923107108,0.14675162354203497,0.03197298414725421
33,Hemtabad,Uttar Dinajpur,SC,Bharatiya Janta Party,0.566259724275316,0.4041498847459743,0.566259724275316,0.029590390978709687
126,Hingalganj,North Twenty Four Parganas,SC,All India Trinamool Congress,0.6783117448922735,0.6783117448922735,0.28688257881551626,0.034805676292210236
173,Howrah Dakshin,Haora,GEN,All India Trinamool Congress,0.7847510195129296,0.7847510195129296,0.17106250793123645,0.04418647255583405
171,Howrah Madhya,Haora,GEN,All India Trinamool Congress,0.775644082163733,0.775644082163733,0.17874160557716937,0.045614312259097664
170,Howrah Uttar,Haora,GEN,All India Trinamool Congress,0.6974715728689986,0.6974715728689986,0.19686933289678057,0.10565909423422079
257,Indus,Bankura,SC,Bharatiya Janta Party,0.9980456041755863,0.0016466837854990373,0.9980456041755863,0.00030771203891469853
29,Islampur,Uttar Dinajpur,GEN,All India Trinamool Congress,0.7348355407306615,0.7348355407306615,0.22126986411509636,0.0438945951542423
36,Itahar,Uttar Dinajpur,GEN,All India Trinamool Congress,0.8146296847518625,0.8146296847518625,0.15477616421157162,0.030594151036566
150,Jadavpur,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.7787512602749146,0.7787512602749146,0.17399035928431167,0.047258380440773795
183,Jagatballavpur,Haora,GEN,All India Trinamool Congress,0.7993069113304344,0.7993069113304344,0.15696803490226574,0.04372505376729996
106,Jagatdal,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8084593405364404,0.8084593405364404,0.14626497288733264,0.045275686576226964
76,Jalangi,Murshidabad,GEN,All India Trinamool Congress,0.7994194594706263,0.7994194594706263,0.17125572701893615,0.029324813510437572
17,Jalpaiguri,Jalpaiguri,SC,Bharatiya Janta Party,0.7346254127447746,0.23863735511800954,0.7346254127447746,0.026737232137216013
262,Jamalpur,Barddhaman,SC,All India Trinamool Congress,0.8110615298390227,0.8110615298390227,0.1555360240332577,0.03340244612771969
279,Jamuria,Barddhaman,GEN,All India Trinamool Congress,0.6058984192616206,0.6058984192616206,0.3426537520225887,0.05144782871579079
195,Jangipara,Hugli,GEN,All India Trinamool Congress,0.8140420391340364,0.8140420391340364,0.1532323845173623,0.032725576348601265
58,Jangipur,Murshidabad,GEN,All India Trinamool Congress,0.7363408102215495,0.7363408102215495,0.23326802322731133,0.030391166551139055
