AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,Candidate_Present,Candidate_Placeholder,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
269,Purbasthali Uttar,Barddhaman,GEN,All India Trinamool Congress,0.9581180396940235,0,0,0.9581180396940235,0.040774878588091264,0.0011070817178851524
199,Pursurah,Hugli,GEN,Bharatiya Janta Party,0.988099046586391,0,0,0.010658738665490167,0.988099046586391,0.0012422147481187954
242,Purulia,Puruliya,GEN,Bharatiya Janta Party,0.9914270758504985,0,0,0.007796426493674463,0.9914270758504985,0.000776497655827052
59,Raghunathganj,Murshidabad,GEN,All India Trinamool Congress,0.9007082388990042,0,0,0.9007082388990042,0.09387258788125727,0.005419173219738467
246,Raghunathpur,Puruliya,SC,Bharatiya Janta Party,0.9944454101066125,0,0,0.005020222515994854,0.9944454101066125,0.0005343673773926574
134,Raidighi,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.883369397354766,0,0,0.883369397354766,0.07030962610190979,0.046320976543324247
35,Raiganj,Uttar Dinajpur,GEN,Bharatiya Janta Party,0.7853516951761353,0,0,0.18777168978047545,0.7853516951761353,0.02687661504338924
261,Raina,Barddhaman,SC,All India Trinamool Congress,0.8982406843387852,0,0,0.8982406843387852,0.09242506480725798,0.009334250853956805
250,Raipur,Bankura,ST,All India Trinamool Congress,0.8238291908692542,0,0,0.8238291908692542,0.17255301247688232,0.003617796653863443
117,Rajarhat  Gopalpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9451083157283073,0,0,0.9451083157283073,0.04705138579497796,0.007840298476714613
115,Rajarhat New Town,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9838651870864298,0,0,0.9838651870864298,0.008847070762612111,0.007287742150958052
18,Rajganj,Jalpaiguri,SC,Bharatiya Janta Party,0.9883907079432164,0,0,0.009479379490686196,0.9883907079432164,0.0021299125660974526
