AC_Number,Constituency_Name,District,Type,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,P_All India Trinamool Congress_baseline,P_All India Trinamool Congress_calibrated,P_Bharatiya Janta Party_baseline,P_Bharatiya Janta Party_calibrated,P_OTHER_baseline,P_OTHER_calibrated,Candidate_AITC,Candidate_BJP,Candidate_INC,Candidate_LF,Candidate_Placeholder,Candidate_Present
240,Baghmundi,Puruliya,GEN,All India Trinamool Congress,0.977114,0.977114,0.615987154060889,0.022483226,0.381833272090631,0.000402789,0.0021795738484799,Sushanta Mahato,???? ?????? ???? (Shri Rahidas Mahato),Nepal Chandra Mahato,PARIMAL KUMAR,0,0
180,Bagnan,Haora,GEN,All India Trinamool Congress,0.9993605,0.9993605,0.9853548987451024,0.00051015255,0.0135506237167653,0.00012932092,0.0010944775381323,Arunava Sen,???? ??????????? ???? (Shri Premangshu Rana),Sk. Hafizur Rahaman,,0,0
72,Baharampur,Murshidabad,GEN,Bharatiya Janta Party,0.97233945,0.024263369,0.0011408455611447,0.97233945,0.997625181481956,0.0033971898,0.0012339729568991,Naru Gopal Mukherjee,???? ?????? ?????? (Shri Subrata Maitra),Adhir Ranjan Chowdhury,,0,0
54,Baisnabnagar,Maldah,GEN,All India Trinamool Congress,0.9580714,0.9580714,0.4690860317635221,0.039467104,0.5205693673422165,0.002461453,0.0103446008942613,Chandana Sarkar,???? ???? ??????? (Shri Raju Karmakar),Smt. Mamuni Mandal,DUNDHUBI SAHA,0,0
191,Balagarh,Hugli,SC,All India Trinamool Congress,0.9180087,0.9180087,0.2981147161455228,0.07940747,0.6946830475686334,0.0025838255,0.0072022362858438,,,,,0,0
239,Balarampur,Puruliya,GEN,Bharatiya Janta Party,0.95061654,0.04838078,0.002326056419148,0.95061654,0.9973015351498502,0.0010026793,0.0003724084310018,Shantiram Mahato,???? ???? ???? (Shri Jaladhar Mahto),Sukanta Mahato,NAMITA MAHATO,0,0
169,Bally,Haora,GEN,All India Trinamool Congress,0.9882345,0.9882345,0.8387006282074816,0.004852309,0.1109389701450322,0.006913129,0.0503604016474861,Kailash Mishra,???? ???? ???? (Shri Sanjay Singh),Smt. Priyanka Choudhury,SANKAR MOITRA,0,0
161,Ballygunge,Kolkata,GEN,All India Trinamool Congress,0.99918836,0.99918836,0.9828973701253774,0.00056763616,0.0150424848931901,0.00024398853,0.0020601449814323,Sovandeb Chattopadhyay,??. ?????? (Dr. Shatrupa),Rohan Mitra,AFRIN BEGAM (SILPI),0,0
39,Balurghat,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.9681054,0.9681054,0.6022839271574237,0.01991274,0.3337324047167591,0.011981824,0.0639836681258172,Arpita Ghosh,???? ??????? ??? (Shri Bidyut Roy),Pradip Kumar Mitra,ARNAB CHOUDHURY,0,0
238,Bandwan,Puruliya,ST,All India Trinamool Congress,0.98161775,0.98161775,0.6854438111797488,0.01594519,0.2999493180660624,0.002437026,0.0146068707541888,,,,,0,0
