AC_Number,Constituency_Name,District,Margin_Pct,total_squeeze_pct,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,Predicted_Winner_adjusted,Predicted_Winner_Prob_adjusted
184,Domjur,Haora,17.1,0.1,All India Trinamool Congress,0.9241300425634252,All India Trinamool Congress,0.8362566429720736
92,Kalyani,Nadia,1.0,0.1,Bharatiya Janta Party,0.9995672849790006,Bharatiya Janta Party,0.9995807912809596
209,Haldia,Purba Medinipur,6.8,0.1,Bharatiya Janta Party,0.8852420871499449,Bharatiya Janta Party,0.8900922452870391
7,Dinhata,Koch Bihar,0.0,0.1,Bharatiya Janta Party,0.9974906396150136,Bharatiya Janta Party,0.9975109064656624
15,Dhupguri,Jalpaiguri,1.9,0.1,Bharatiya Janta Party,0.992606561872771,Bharatiya Janta Party,0.9926390185195204
229,Debra,Paschim Medinipur,5.5,0.1,All India Trinamool Congress,0.6618724863137111,All India Trinamool Congress,0.6035570775649469
230,Daspur,Paschim Medinipur,12.1,0.1,Bharatiya Janta Party,0.7377950986764314,Bharatiya Janta Party,0.749667744042538
23,Darjeeling,Darjiling,12.8,0.1,Bharatiya Janta Party,0.9979568996526192,Bharatiya Janta Party,0.9979695798059618
3,Coochbehar Uttar,Koch Bihar,6.0,0.1,Bharatiya Janta Party,0.9982586373883516,Bharatiya Janta Party,0.9982862667089044
231,Ghatal,Paschim Medinipur,0.4,0.1,Bharatiya Janta Party,0.9963754040727149,Bharatiya Janta Party,0.9964886320470412
