PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Alipurduars,2,ST,West Bengal,Manoj Tigga,Bharatiya Janta Party,1773252,1421389,80.2%,75447,5.3%
Arambagh,29,SC,West Bengal,Bag Mitali,All India Trinamool Congress,1883266,1559079,82.8%,6399,0.4%
Asansol,40,GEN,West Bengal,Shatrughan Prasad Sinha,All India Trinamool Congress,1770281,1301540,73.5%,59564,4.6%
Baharampur,10,GEN,West Bengal,Pathan Yusuf,All India Trinamool Congress,1783078,1384770,77.7%,85022,6.1%
Balurghat,6,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,1561966,1237308,79.2%,10386,0.8%
Bangaon,14,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,1836374,1493108,81.3%,73693,4.9%
Bankura,36,GEN,West Bengal,Arup Chakraborty,All India Trinamool Congress,1780580,1447674,81.3%,32778,2.3%
Barasat,17,GEN,West Bengal,Kakoli Ghosh Dastidar,All India Trinamool Congress,1905400,1532601,80.4%,114189,7.5%
Bardhaman Purb,38,SC,West Bengal,Dr. Sharmila Sarkar,All India Trinamool Congress,1801333,1497310,83.1%,160572,10.7%
Barrackpore,15,GEN,West Bengal,Partha Bhowmick,All India Trinamool Congress,1508728,1141860,75.7%,64438,5.6%
Basirhat,18,GEN,West Bengal,Sk Nurul Islam,All India Trinamool Congress,1804261,1523401,84.4%,333547,21.9%
Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1857022,1527432,82.3%,197650,12.9%
Bishnupur,37,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,1754268,1513872,86.3%,5567,0.4%
Bolpur,41,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,1839234,1528470,83.1%,327253,21.4%
Burdwan - Durgapur,39,GEN,West Bengal,Azad Kirti Jha,All India Trinamool Congress,1851780,1501773,81.1%,137981,9.2%
Cooch Behar,1,SC,West Bengal,Jagadish Chandra Barma Basunia,All India Trinamool Congress,1966893,1623048,82.5%,39250,2.4%
Darjeeling,4,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,1765744,1327412,75.2%,178525,13.4%
Diamond Harbour,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1880779,1530817,81.4%,710930,46.4%
Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1699656,1260046,74.1%,70660,5.6%
Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1939945,1600556,82.5%,182868,11.4%
Hooghly,28,GEN,West Bengal,Rachna Banerjee,All India Trinamool Congress,1858067,1517511,81.7%,76853,5.1%
Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,1769184,1271796,71.9%,169442,13.3%
Jadavpur,22,GEN,West Bengal,Sayani Ghosh,All India Trinamool Congress,2033525,1566509,77.0%,258201,16.5%
Jalpaiguri,3,SC,West Bengal,Dr Jayanta Kumar Roy,Bharatiya Janta Party,1885963,1578389,83.7%,86693,5.5%
Jangipur,9,GEN,West Bengal,Khalilur Rahaman,All India Trinamool Congress,1805360,1369633,75.9%,116637,8.5%
Jhargram,33,ST,West Bengal,Kalipada Saren (KHERWAL),All India Trinamool Congress,1779794,1490843,83.8%,174048,11.7%
Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1844780,1482631,80.3%,470219,31.7%
Kanthi,31,GEN,West Bengal,Adhikari Soumendu,Bharatiya Janta Party,1794537,1530997,85.3%,47764,3.1%
Kolkata Dakshin,23,GEN,West Bengal,Mala Roy,All India Trinamool Congress,1849520,1243477,67.2%,187231,15.1%
Kolkata Uttar,24,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,1505356,958433,63.7%,92560,9.7%
Krishnanagar,12,GEN,West Bengal,Mahua Moitra,All India Trinamool Congress,1755631,1425712,81.2%,56705,4.0%
Maldaha Dakshin,8,GEN,West Bengal,Isha Khan Choudhury,Indian National Congress,1782159,1369789,76.9%,128368,9.4%
Maldaha Uttar,7,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,1862035,1417589,76.1%,77708,5.5%
Mathurapur,20,SC,West Bengal,Bapi Haldar,All India Trinamool Congress,1817068,1496024,82.0%,201057,13.4%
Medinipur,34,GEN,West Bengal,June Maliah,All India Trinamool Congress,1811243,1481563,81.8%,27191,1.8%
Murshidabad,11,GEN,West Bengal,Abu Taher Khan,All India Trinamool Congress,1888097,1541559,81.7%,164215,10.7%
Purulia,35,GEN,West Bengal,Jyotirmay Singh Mahato,Bharatiya Janta Party,1823120,1434018,78.7%,17079,1.2%
Raiganj,5,GEN,West Bengal,Kartick Chandra Paul,Bharatiya Janta Party,1790245,1368471,76.4%,68197,5.0%
Ranaghat,13,SC,West Bengal,Jagannath Sarkar,Bharatiya Janta Party,1871658,1540632,82.0%,186899,12.1%
Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,1926645,1476532,76.6%,174830,11.8%
Tamluk,30,GEN,West Bengal,Abhijit Gangopadhyay,Bharatiya Janta Party,1850741,1577319,85.2%,77733,4.9%
Uluberia,26,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,1741438,1390794,79.9%,218673,15.7%
